"","SED_S19S.0001","SED_S19S.0003","SED_S19S.0004","SED_S19S.0006","SED_S19S.0008","SED_S19S.0009","SED_S19S.0010","SED_S19S.0011","SED_S19S.0012","SED_S19S.0013","SED_S19S.0014","SED_S19S.0015","SED_S19S.0016","SED_S19S.0017","SED_S19S.0018","SED_S19S.0019","SED_S19S.0020","SED_S19S.0021","SED_S19S.0022","SED_S19S.0023","SED_S19S.0024","SED_S19S.0025","SED_S19S.0026","SED_S19S.0027","SED_S19S.0028","SED_S19S.0029","SED_S19S.0030","SED_S19S.0031","SED_S19S.0032","SED_S19S.0033","SED_S19S.0034","SED_S19S.0035","SED_S19S.0036","SED_S19S.0037","SED_S19S.0038","SED_S19S.0039","SED_S19S.0040","SED_S19S.0041","SED_S19S.0042","SED_S19S.0043","SED_S19S.0044","SED_S19S.0045","SED_S19S.0046","SED_S19S.0047","SED_S19S.0049","SED_S19S.0050","SED_S19S.0051","SED_S19S.0052","SED_S19S.0053","SED_S19S.0054","SED_S19S.0055","SED_S19S.0056","SED_S19S.0057","SED_S19S.0058","SED_S19S.0059","SED_S19S.0060","SED_S19S.0061","SED_S19S.0062","SED_S19S.0063","SED_S19S.0064","SED_S19S.0065","SED_S19S.0066","SED_S19S.0067","SED_S19S.0068","SED_S19S.0069","SED_S19S.0070","SED_S19S.0071","SED_S19S.0072","SED_S19S.0073","SED_S19S.0074","SED_S19S.0075","SED_S19S.0076","SED_S19S.0077","SED_S19S.0078","SED_S19S.0079","SED_S19S.0080","SED_S19S.0081","SED_S19S.0082","SED_S19S.0083","SED_S19S.0084","SED_S19S.0085","SED_S19S.0086","SED_S19S.0087","SED_S19S.0089","SED_S19S.0090","SED_S19S.0091","SED_S19S.0092","SED_S19S.0093","SED_S19S.0094","SED_S19S.0096","SED_S19S.0097","SED_S19S.0099","SED_S19S.0100","SW_S19S.0003","SW_S19S.0004","SW_S19S.0005","SW_S19S.0006","SW_S19S.0007","SW_S19S.0008","SW_S19S.0009","SW_S19S.0010","SW_S19S.0011","SW_S19S.0012","SW_S19S.0013","SW_S19S.0014","SW_S19S.0015","SW_S19S.0016","SW_S19S.0017","SW_S19S.0018","SW_S19S.0019","SW_S19S.0020","SW_S19S.0021","SW_S19S.0022","SW_S19S.0023","SW_S19S.0024","SW_S19S.0025","SW_S19S.0026","SW_S19S.0027","SW_S19S.0028","SW_S19S.0029","SW_S19S.0030","SW_S19S.0031","SW_S19S.0032","SW_S19S.0033","SW_S19S.0034","SW_S19S.0035","SW_S19S.0036","SW_S19S.0037","SW_S19S.0038","SW_S19S.0039","SW_S19S.0040","SW_S19S.0041","SW_S19S.0042","SW_S19S.0043","SW_S19S.0044","SW_S19S.0045","SW_S19S.0047","SW_S19S.0048","SW_S19S.0049","SW_S19S.0050","SW_S19S.0051","SW_S19S.0052","SW_S19S.0053","SW_S19S.0054","SW_S19S.0055","SW_S19S.0056","SW_S19S.0057","SW_S19S.0058","SW_S19S.0059","SW_S19S.0060","SW_S19S.0061","SW_S19S.0062","SW_S19S.0063","SW_S19S.0064","SW_S19S.0065","SW_S19S.0066","SW_S19S.0067","SW_S19S.0068","SW_S19S.0069","SW_S19S.0070","SW_S19S.0071","SW_S19S.0072","SW_S19S.0073","SW_S19S.0074","SW_S19S.0075","SW_S19S.0076","SW_S19S.0077","SW_S19S.0078","SW_S19S.0079","SW_S19S.0080","SW_S19S.0081","SW_S19S.0082","SW_S19S.0083","SW_S19S.0084","SW_S19S.0085","SW_S19S.0086","SW_S19S.0087","SW_S19S.0089","SW_S19S.0090","SW_S19S.0091","SW_S19S.0092","SW_S19S.0093","SW_S19S.0094","SW_S19S.0096","SW_S19S.0097","SW_S19S.0098","SW_S19S.0099","SW_S19S.0100"
"C10H19O4N","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","0","0","1","1","1","1","1","1","1","0","0","0","0","1","0","0","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","0","1","1","0","1","0","0","1","0","1","0","0","1","0","1","0","0","1","1","1","0","0","1","0","0","1","1","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1"
"C10H19O6N","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","0","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","0","1","1","0","1","1","1","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C10H19O8N","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","0","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"C10H20O4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1"
"C10H20O5S","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","0","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","1","1","0","0","0","1","1","0","1","1","1","0","0","0","1","1","0","0","1","0","1","1","1","1","1","1"
"C10H21O12N3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","0","1","0","0","1","0","0","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","1","1","0","1"
"C10H22O8N4S","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","0","1","0","1","0"
"C10H6O5","0","0","0","1","0","1","0","1","1","1","1","1","1","0","0","1","1","1","1","0","0","1","1","1","0","1","0","0","1","0","1","1","0","0","0","1","0","1","0","1","1","1","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","0","1","1","1","1","1","0","1","1","1","1","0","0","0","1","1","0","1","0","0","1","0","0","1","0","0","1","0","1","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0","1","1","1","1","1","1","1"
"C10H6O6","1","0","0","1","0","1","0","1","1","1","1","1","1","0","0","1","1","1","1","0","0","1","1","1","0","1","1","0","1","0","1","1","0","1","1","1","1","1","1","0","1","0","0","0","1","0","0","1","1","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","1","1","0","1","0","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","0","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","1","1","0","1","1","1","1"
"C10H8O5","1","1","0","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1"
"C10H8O6","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"C10H8O7","1","1","0","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"C10H8O8","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","1","0","0","0","1","0","0","1","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","1","1","1","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","0","0","0","0","1","0","1","1","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","0","1","1","0","1","0","1","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","0","1","0","1","1"
"C10H9O11N2S2P","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"C11H10O4","1","0","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","1","1","1","1","1","1","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","0","1","1"
"C11H10O5","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","0","0","0","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"C11H10O6","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"C11H10O7","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"C11H10O8","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","0","1","0","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"C11H10O9","0","1","0","1","0","1","1","1","1","1","1","1","0","0","0","1","1","1","1","0","0","1","1","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","1","1","1","1","1","1","1","0","0","1","0","1","1","0","0","0","0","0","0","1","0","1","1","1","0","1","0","0","1","0","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1"
"C11H11O11N2S2P","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0"
"C11H11O7N","0","0","0","1","0","0","0","1","1","1","1","1","0","1","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","0","1","1","1","1","1","0","1","0","0","0","0","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1"
"C11H12O4","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","0","1","0","0","0","0","1","0","1","0","1","0","1","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","0","1","1","1","1","1","0","1","1"
"C11H12O5","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"C11H12O6","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"C11H12O7","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"C11H12O8","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"C11H12O9","1","1","0","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","1","0","1","0","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","0","0","0","1","0","0","1","1","0","1","1","1","0","0","1","1","1","1","1","1","0","0","1","1","0","1","1","0","0","0","0","1","0","1","1","1","1","1","0","1","0","0","1","0","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"C11H13O5N","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","0","1","1","0","1","1","0","1","1"
"C11H14O4","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1"
